product_name,countries_en,serving_size,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,trans-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,potassium_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g
Filet de Saumon sauce citron,France,190 g,1050,0,23,3.6,0,0,1.13,0,0.6,0.6,0,11.1,1.06,0.417322835,0,0,0,0,0,0
"Plateau Exotique (4 Mini-Nems de Porc, 4 Samoussas Boeuf, 6 Acras de Morue, Sauce Nuoc Mâm et Aigre-Douce)",France,190 g,753,0,6.9,1.8,0,0,0,0,21,4.2,0,7.5,1.6,0.62992126,0,0,0,0,0,0
Purée Pomme de Terre et Noix de Muscade,France,190 g,424,0,3.4,1.8,0,0,0,0,15.5,1.3,0.7,2,0.4826,0.19,0,0,0,0,0,0
Tarte Chèvre Tomates,France,190 g,808,0,12,2.1,0,0,0,0,12,2.1,0.8,8.9,0.78,0.307086614,0,0,0,0,0,0
J'ai envie d'un... Wrap - Poulet Œuf Mimosa,France,190 g,941,0,9.2,1.9,0,0,0,0,24,2.1,0,11,1.4,0.551181102,0,0,0,0,0,0
Wrap Jambon Speck + Poivrons Rouges et Tomates Mi-Séchées + Sauce Basilic,France,190 g,967,0,11,4.3,0,0,0,0,21,2.4,2.3,11,1.5,0.590551181,0,0,0,0,0,0
Confit de Foie de Volaille aux Girolles,France,190 g,1155,0,24,10,0,0,0,0,1.7,0,0,14,1.5,0.590551181,0,0,0,0,0,0
Wrap Chicken Salsa,France,190 g,804,0,11.5,4.7,0,0,0,0,10.9,4.8,1.2,10.8,1,0.393700787,0,0,0,0,0,0
Gratinée parisienne fine chapelure et champignons,France,190 g,913,0,15,3.4,0,0,0,0,10,2.3,0.8,11,1.016,0.4,0,0,0,0,0,0
Pizza 3 fromages,France,190 g,927,0,8.4,4.6,0,0,0,0,25,3.2,2.8,9.9,1.1,0.433070866,0,0,0,0,0,0
Pizza 3 Fromages,France,190 g,933,0,8.3,4.5,0,0,0,0,25.4,3.4,2.6,10.1,1.07,0.421259843,0,0,0,0,0,0
"Pizza cuite au feu de bois speck, mozzarella, tomates cerise, roquette",France,190 g,982,0,7.6,3.9,0,0,0,0,29,4.3,2.6,11,1.2,0.472440945,0,0,0,0,0,0
Double Cheese Burgers,France,190 g,1079,0,15,6,0,0,0,0,18,3,0,12,1.2,0.472440945,0,0,0,0,0,0
Sauce Tomate Aux 4 légumes,France,190 g,300,0,3.5,0.4,0,0,0,0,7,6.6,3,1.6,0.9,0.354330709,0,0,0,0,0,0
Sauce Italienne,France,190 g,301,0,2.9,0.6,0,0,0,0,6.1,4.9,0,3.9,1.2,0.472440945,0,0,0,0,0,0
Risotto aux tomates,France,190 g,490,0,0.8,0.4,0,0,0,0,24,2.7,0,2.8,0.8,0.31496063,0,0,0,0,0,0
Dolce Pizza Regina,France,190 g,758,0,4.6,2.9,0,0,0,0,22.2,2.1,0,10.9,1.4605,0.575,0,0,0,0,0,0
Tarte Saumon fumé Epinards,France,190 g,787,0,12,8.2,0,0,0,0,12,1.5,1.2,7.6,0.92,0.362204724,0,0,0,0,0,0
Carrés Chauds Quiche Lorraine Pâte Pur Beurre,France,190 g,843,0,11.2,5.6,0,0,0,0,12.8,2.6,0,11.3,1.2,0.472440945,0,0,0,0,0,0
Pizza Légumes,France,190 g,860,0,6,2.4,0,0,0,0,29,1.8,2.4,7.4,0.79,0.311023622,0,0,0,0,0,0
"Be Wrappy Poulet Rôti, Tomates Marinées, Sauce Pesto",France,190 g,916,0,6.9,0.9,0,0,0,0,28,3.9,0,9.8,1.19888,0.472,0,0,0,0,0,0
Pizza aux 3 Fromages Bio ,France,190 g,933,0,8.4,4.6,0,0,0,0,25.4,3.2,2.8,9.9,1.1,0.433070866,0,0,0,0,0,0
Dolce Pizza 4 Formaggi,France,190 g,968,0,7.9,3.6,0,0,0,0,27.8,2.7,0,10.6,1.21,0.476377953,0,0,0,0,0,0
Pizza Campanella,France,190 g,970,0,7.89,4.21,0,0,0,0,25.3,2.11,0,13.5,1.84,0.725,0,0,0,0,0,0
Pizza Prosciutto Mozzarella,France,190 g,971,0,7,3.2,0,0,0,0,29.4,3.1,3.1,11,1.2,0.472440945,0,0,0,0,0,0
Pizza 3 Fromages,France,190 g,972,0,9.1,4.7,0,0,0,0,26,3.5,2.9,10,1.1,0.433070866,0,0,0,0,0,0
Tarte Chèvre tomate,France,190 g,1062,0,17.6,10.1,0,0,0,0,14.3,3.6,0,9.9,0.6,0.236220472,0,0,0,0,0,0
"Tarte aux 3 fromages MARIE, 190G",France,190 g,1113,0,17,8.9,0,0,0,0,18,1.4,0.7,10,0.9,0.354330709,0,0,0,0,0,0
Petite marmite St-Jacques Coco et Gingembre,France,190 g,1761,0,6.3,4.2,0,0,0,0,6.5,3,0,5.5,1.03,0.405511811,0,0,0,0,0,0
Courges butternut sauté d'agneau,France,190 g,199,0,1.7,0.9,0,0,0,0,5,4.7,1.6,2.3,0.025,0.00984252,0,0,0,0,0,0
Ragoût de légumes épaule de porc de Corrèze,France,190 g,238,0,1.4,0.1,0,0,0,0,7.9,2.2,1.2,2.5,0.03556,0.014,0,0,0,0,0,0
Carottes poulet fermier,France,190 g,271,0,2.1,0.1,0,0,0,0,7.8,3.1,2.1,2.6,0.07,0.027559055,0,0,0,0,0,0
Parmentier de boeuf aux topinambours,France,190 g,323,0,1.5,0.5,0,0,0,0,12.2,6,1.9,3.4,0.03048,0.012,0,0,0,0,0,0
Authentic Indian Chicken & Sweet Potato Curry,France,190 g,351,0,1.1,0.3,0,0,0,0,12.6,5.3,2.4,4.5,0.09,0.035433071,0,0,0,0,0,0
Asperges vertes miniatures,France,190 g,59,0,0,0,0,0,0,0,1.5,1,1,1.5,0.925,0.364173228,0,0,0,0,0,0
Ratatouille Niçoise,France,190 g,197,0,2,0.3,0,0,0,0,5.1,4.2,1.5,1.4,0.8382,0.33,0,0,0,0,0,0
Gnocchi Aux pommes de terre,France,190 g,679,0,0.5,0.2,0,0,0,0,35,0.5,1.9,3,1.5,0.590551181,0,0,0,0,0,0
Wrap Veggie Falafel,France,190 g,985,0,12.5,2,0,0,0,0,22.7,6.6,3.5,6.4,1.3,0.511811024,0,0,0,0,0,0
Wrap Thon a La Mexicaine Sauce Tex Mex,France,190 g,741,0,4.3,0.4,0,0,0,0,25.3,3.1,0,7.4,1,0.393700787,0,0,0,0,0,0
Thon crudités pain de mie au blé maltais,France,190 g,749,0,6.4,2,0,0,0,0,21,2.2,3.8,8.4,0.78,0.307086614,0,0,0,0,0,0
"thon, crudités, citron et coriandre",France,190 g,769,0,5.3,1.5,0,0,0,0,23.6,1.3,0,8.2,0.6,0.236220472,0,0,0,0,0,0
Sodebo wrap poulet caesar,France,190 g,808,0,6.89,2.32,0,0,0,0,20.1,2.32,0,11.6,1.05,0.414,0,0,0,0,0,0
Be Wrappy Poulet façon Fajitas,France,190 g,837,0,5.9,1.2,0,0,0,0,26.9,3.3,0,8.4,1.3,0.511811024,0,0,0,0,0,0
Wrap Porc Caramel,France,190 g,839,0,5,0.9,0,0,0,0,28.4,5.8,0,8.4,1,0.393700787,0,0,0,0,0,0
Pause Snack Émincé Poulet rôti tomate roquette,France,190 g,871,0,6,0.6,0,0,0,0,25.6,3.1,0,10.9,1.25,0.492125984,0,0,0,0,0,0
Côté Wrap Saumon Fumé,France,190 g,889,0,9.4,3.2,0,0,0,0,23,2,2.2,7.4,1.3,0.511811024,0,0,0,0,0,0
Le Gourmand Jambon cru Chèvre,France,190 g,890,0,9.6,4.2,0,0,0,0,21,1.7,0,9.6,1.3,0.511811024,0,0,0,0,0,0
Poulet rôti Gruyère de France IGP Pain spécial campagne moelleux,France,190 g,911,0,8,2.5,0,0,0,0,23.2,1.8,0,11.9,1.2,0.472440945,0,0,0,0,0,0
"Escales Gourmandes Duo de Bacon grillé & fumé, Chèvre",France,190 g,921,0,9.4,2.3,0,0,0,0,22.8,2.3,0,9.8,1.1,0.433070866,0,0,0,0,0,0
Le 360 Jambon Cheddar Sauce Burger,France,190 g,937,0,9.8,2,0,0,0,0,24.1,3.4,0,9.1,1.3,0.511811024,0,0,0,0,0,0
Escales Gourmandes Coppa Emmental,France,190 g,946,0,9.1,2.2,0,0,0,0,21.6,2.2,0,12.8,1.69926,0.669,0,0,0,0,0,0
Côté Wrap Poulet Caesar,France,190 g,983,0,11,4.4,0,0,0,0,23,2.3,2.7,10,1.2,0.472440945,0,0,0,0,0,0
Le Savoureux Poulet Œuf Mayonnaise,France,190 g,1000,0,12.5,1.1,0,0,0,0,22,2.2,0,9,1.1,0.433070866,0,0,0,0,0,0
Maxi Thon œuf salade,France,190 g,1003,0,11,1.3,0,0,0,0,24,1.7,0,10,1,0.393700787,0,0,0,0,0,0
Poulet rôti Graines de Sésame Sauce sésame,France,190 g,1006,0,11.1,1,0,0,0,0,25.1,2.9,0,8.1,1.3,0.511811024,0,0,0,0,0,0
Le poulet crudités et parmesan,France,190 g,1018,0,12,4.4,0,0,0,0,21,1.7,0,12,1.1,0.433070866,0,0,0,0,0,0
wraps jambon fromage de brebis Sauce au yaourt,France,190 g,1025,0,10.6,3,0,0,0,0,26.2,2.5,0,9.8,1.68,0.661417323,0,0,0,0,0,0
"Be Wrappy Jambon, Fromage de brebis, Sauce Yaourt",France,190 g,1027,0,10.6,3,0,0,0,0,26.2,2.5,0,9.8,1.69926,0.669,0,0,0,0,0,0
Jambon Beurre & Comté AOP,France,190 g,1034,0,12,6.2,0,0,0,0,21,2.2,1.5,12,1.6,0.62992126,0,0,0,0,0,0
Wrappy Bacon grillé œufs tomates marinées sauce yaourt,France,190 g,1040,0,11.1,2.11,0,0,0,0,26.6,3.53,0,9.11,1.42,0.559,0,0,0,0,0,0
Wrap Jambon Feta,France,190 g,1042,0,13,2.6,0,0,0,0,23,2,0,8.9,1.4,0.551181102,0,0,0,0,0,0
Escales Gourmandes Jambon fumé Cantal AOP,France,190 g,1043,0,13,2.8,0,0,0,0,19.9,1.7,0,12.1,1.4,0.551181102,0,0,0,0,0,0
Wrap Saumon Fumé,France,190 g,1054,0,11,3.1,0,0,0,0,26,2.6,0,12,0,0,0,0,0,0,0,0
Wraps Jambon Cheddar Sauce Burger,France,190 g,1078,0,11.9,2,0,0,0,0,26.6,2.5,0,9.5,1.45,0.570866142,0,0,0,0,0,0
Le Gourmand Jambon Cheddar,France,190 g,1106,0,12,4,0,0,0,0,26,2.4,0,12,1.4,0.551181102,0,0,0,0,0,0
Emmental Poivrons grillés Roquette Sauce Basilic (Pain de mie complet),France,190 g,1168,0,17,6,0,0,0,0,20,3.7,0,11,0.97,0.381889764,0,0,0,0,0,0
Le 360 Le Bagnat Brioché thon œuf,France,190 g,1182,0,14.6,1.1,0,0,0,0,27.7,6.6,0,8.8,0.8,0.31496063,0,0,0,0,0,0
Filets de harengs sauce moutarde,France,190 g - 1 Boîte,772,0,13.2,2.6,0,0,1.06,0,4.1,1.1,0,12.6,1.52,0.598425197,0,0,0,0,0,0
Wrap Poulet crudités sauce Caesar,France,190 g (2 wraps),824,0,7,0.8,0,0,0,0,22,2.4,0,8.5,1.01,0.397637795,0,0,0,0,0,0
Riste d'aubergine,France,190 g (Ce bocal contient 3 portions environ),520,0,11,1.2,0,0,0,0,4.2,4.2,2.9,1.1,0.83,0.326771654,0,0,0,0,0,0
Hipp Biologique Délices du Jardin Jardinière de Légumes,France,190g,168,0,1.3,0.1,0.8,0.3,0.08,0,4.7,2.2,2.4,1.2,0.0508,0.02,0,0,0,0,0,0
Le potiron et sa polenta,France,190g,184,0,0.6,0.09,0,0,0,0,8,1.9,1.1,1,0.24638,0.097,0,0,0,0,0,0
Naturnes carottes patates douces cabillaud,France,190g,204,0,1.4,0.1,0,0,0,0,6.7,2.2,1.2,1.7,0.254,0.1,0,0,0,0,0,0
"Duo de haricots, riz poulet",France,190g,234,0,1.7,0.3,0,0,0,0,6.6,1,1.4,2.8,0.21,0.082677165,0,0,0,0,0,0
"Le navet, ses pommes de terre et son boeuf",France,190g,281,0,2.8,0.7,0,0,0,0,7.5,1.9,2.2,2.3,0.21336,0.084,0,0,0,0,0,0
L'aubergine sa tomate et ses petites pâtes,France,190g,283,0,2.8,0.3,0,0,0,0,8.5,2.2,1.6,1.3,0.28,0.11023622,0,0,0,0,0,0
La courge butternut son boulghour & son poulet,France,190g,328,0,3.4,0.5,0,0,0,0,8.6,1.2,1,3,0.27432,0.108,0,0,0,0,0,0
Le panais sa patate douce & son poulet,France,190g,348,0,3,0.5,0,0,0,0,10.1,3.3,2.3,2.8,0.27432,0.108,0,0,0,0,0,0
L'épinard son riz et son poulet,France,190g,362,0,3.3,0.4,0,0,0,0,9.4,0.8,1.6,3.3,0.254,0.1,0,0,0,0,0,0
Sauce aux olives façon pesto rosso,France,190g,909,0,20,3,0,0,0,0,6.3,4.3,0,2.8,1.2,0.472440945,0,0,0,0,0,0
Sauce Pesto Vert,France,190g,1289,0,36.1,4.9,0,0,0,0,2.2,0.5,2.3,3.6,2.3,0.905511811,0,0,0,0,0,0
Dolce Pizza Campanella,France,190g,970,0,7.9,4.2,0,0,0,0,25.3,2.1,0,13.5,1.84,0.724409449,0,0,0,0,0,0
Pizza Classico,France,190g,983,0,6.8,3.1,0,0,0,0,30.6,2.9,0,11.4,0.99,0.38976378,0,0,0,0,0,0
Pizza 4 Fromages,France,190g,1001,0,9.8,5.8,0,0,0,0,27,4.9,2.5,9.4,1.1,0.433070866,0,0,0,0,0,0
Pizza Spezia,France,190g,1076,0,8.8,3.9,0,0,0,0,29.7,2.7,0,13.6,1.16,0.456692913,0,0,0,0,0,0
Le Gourmand Poulet Caesar,France,190g,989,0,13,2.4,0,0,0,0,20,1.5,0,9.1,1.1,0.433070866,0,0,0,0,0,0
"Wrap duo de saumon, sauce yaourt et herbes",France,190g,996,0,10.9,1.8,0,0,0,0,22.9,1.7,0,10.2,1.2,0.472440945,0,0,0,0,0,0
La sauce italienne à la viande rôtie,France,190g - 1 Boite,306,0,4.3,1.5,0,0,0,0,8.5,6.1,1.6,3.4,1.2,0.472440945,0,0,0,0,0,0
La sauce italienne à la viande rôtie,France,190g - 1 Boite,306,0,4.3,1.5,0,0,0,0,8.5,6.1,1.6,3.4,1.2,0.472440945,0,0,0,0,0,0
Cornichons au vinaigre BIO,France,190g poids net égoutté,50,0,0.1,0.1,0,0,0,0,1.2,1.2,0,0.4,0.7,0.275590551,0,0,0,0,0,0
Bolognese,France,190ml - 1 Pot,375,0,4.9,1.5,0,0,0,0,6.7,5.6,1.6,3.9,1,0.393700787,0,0,0,0,0,0
Yo Fruit Fraise,France,191 g,296,0,1.5,0.9,0,0,0,0,10.7,10.5,0.2,2.8,0.08,0.031496063,0,0,0,0,0,0
Confit d'Oie du Sud-Ouest 4 à 5 cuisses - 1530 g,France,191 g,967,0,12.9,0,0,0,0,0,0.1,0.1,0,28.4,0,0,0,0,0,0,0,0
Tomates entieres pelees au jus,France,"191,5 g",75,0,0.4,0.2,0,0,0,0,2.1,2.1,1,1.1,0.45,0.177165354,0,0,0,0,0,0
Tomates entières pelées au jus,France,191g,86,0,0.5,0.1,0,0,0,0,3.6,3.6,0,1.2,0.02,0.007874016,0,0,0,0,0,0
Épinards mitonnés à la crème,France,192 g,276,0,3.6,2,0,0,0,0,3.6,0.7,0,3.5,0.82,0.322834646,0,0,0,0,0,0
Poisson Ranch,France,"192,1 g",1002,0,11,3.6,0,0,0,0,22,4,1.6,11,1.1,0.433070866,0,0,0,0,0,0
Galette de blé noir et de froment Lardons Chèvre,France,195 g,834,0,11.3,5.64,0,0,0,0,13.8,1.18,1.38,9.23,1.13,0.444,0,0,0,0,0,0
Sushi,France,195 g,691,0,5.1,1.2,0,0,0,0,24,6.6,1.2,5.3,0.6,0.236220472,0,0,0,0,0,0
Pizza du pêcheur cuite sur pierre,France,195 g,962,0,9.3,5.3,0,0,0,0,26.7,5.6,2.3,8.6,1.2,0.472440945,0,0,0,0,0,0
Choucroute Nature à Garnir,France,195 g,67,0,0.2,0,0,0,0,0,1.5,0.8,2,1,1,0.393700787,0,0,0,0,0,0
Pizza Bolognaise,France,195 g,948,0,7.1,2.3,0,0,0,0,31,5.4,0,8.5,1.6,0.62992126,0,0,0,0,0,0
Épinards Hachés ,France,195 g,146,0,0.7,0.1,0,0,0,0,2.6,0.7,1.8,3.6,0.03,0.011811024,0,0,0,0,0,0
Haricots verts,France,195 g,171,0,2.1,1.1,0,0,0,0,4,0.6,0,1.4,0.1,0.039370079,0,0,0,0,0,0
Trio Poulet Rôti,France,195 g,835,0,5.8,0.7,0,0,0,0,23,3.2,3.6,11.8,1.81,0.712598425,0,0,0,0,0,0
Mc Chicken,France,195 g,953,0,9.74,1.18,0,0,0,0,23.1,3.28,1.38,10.8,0.974,0.384,0,0,0,0,0,0
Trio Poulet Rôti,France,195 g,993,0,7.4,1.1,0,0,0,0,28,3.5,2.8,13,1.3,0.511811024,0,0,0,0,0,0
Pause Snack Burger Charolais sauce Poivre,France,195 g,1120,0,12.7,5.3,0,0,0,0,23.6,1.6,0,14.4,0.96,0.377952756,0,0,0,0,0,0
L'Ecrasé de Pommes de terre à l'huile d'olive et basilic,France,195 g - 1 Portion sécable,472,0,4.1,0.5,0,0,0,0,16,0.5,1.7,2,0.6,0.236220472,0,0,0,0,0,0
Maxi Bacon,France,195 g (1 burger) Ce produit contient 1 portion.,1112,0,12.1,6.1,0,0,0,0,24.3,4.3,0,13.9,1.4097,0.555,0,0,0,0,0,0
Galette au blé noir Lardons chèvre affiné,France,195 g (1 galette),885,0,13.2,5.8,0,0,0,0,11.6,1.3,0,10.8,1.399794,0.5511,0,0,0,0,0,0
2 Galettes au blé noir lardons chèvre,France,195 g (cet emballage contient deux portions),904,0,13.8,5.4,0,0,0,0,13.2,1.4,1.8,9.1,1.27,0.5,0,0,0,0,0,0
1 galette au blé noir jambon emmental,France,195g,802,0,11,4.6,0,0,0,0,10.5,1.8,0,11.7,1.48,0.582677165,0,0,0,0,0,0
Pizza chorizo Les cuites sur pierre,France,195g,977,0,10.3,3.9,0,0,0,0,24.6,3.18,0,9.74,1.38,0.545,0,0,0,0,0,0
"Galette de blé noir et de froment Jambon, Emmental, Mozzarella",France,195g - 1 Galette,723,0,7.5,4.2,0,0,0,0,14,1,1.7,12,1.1,0.433070866,0,0,0,0,0,0
Haricots verts bio,France,195g poids net égoutté,84,0,0.1,0,0,0,0,0,4.4,2.1,1.7,1.2,0.5,0.196850394,0,0,0,0,0,0
Royal Bacon,France,197 g,1071,0,13,6.1,0,0,0,0,17,4.1,1,17,0.81,0.318897638,0,0,0,0,0,0
Long Bacon,France,199 g - 1 Long Bacon,1290,0,19.2,7.79,0,0,0,0,17.4,2.61,0,15.9,1.41,0.554,0,0,0,0,0,0
Grany Fruits des bois et Chocolat,France,19g,1807,0,16,6.5,0,0,0,0,67,30,4.5,4.4,0.57,0.224409449,0,0,0,0,0,0
Tranches de Gouda Spécial Baguette (30% MG),France,19g - 1 Tranche,1508,0,30,21,0,0,0,0,1.5,0,0,23,1.8,0.708661417,0,0,0,0,0,0
Scottish cream shortbread fingers,France,19g (1 finger),2103,0,24.8,3.3,0,0,0,0,62.4,18.2,0,6.4,0.64,0.251968504,0,0,0,0,0,0
Levanat Instant,France,1g,949,0,0.4,0,0,0,0,0,53,0,0,4.3,0,0,0,0,0,0,0,0
Spéciale pizza,France,1g,3766,0,100,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sucralose,France,1g,1506,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0
Lait demi-écrémé Stérilisé UHT,France,1L,192,0,1.5,1,0,0,0,0,4.8,4.8,0,3.2,0.113,0.044488189,0,0.12,0,0,0,0
Mouliné de légumes d'hiver,France,1L,155,0,1.7,1.1,0,0,0,0,3.5,0.3,2.2,0.9,0.55,0.216535433,0,0,0,0,0,0
Délice de légumes,France,1sachet (200ml reconstitué),284,0,3.45,1.85,0,0,0,0,8.5,1.9,0.25,0.55,0.6,0.236,0,0,0,0,0,0
Pâte de piment Antillais - ho la la... ça pique,France,1tsp (5ml),8,0,1,0.23,0,0,0,0,1,0.23,0.1,0,0.26,0.102362205,0,0,0,0,0,0
Choco Magnésium,France,2 biscuit 40g,2054,0,23,8.5,0,0,0,0,62,32,3.7,7,0.28,0.11023622,0,0,0,0,0.211,0
Weetabix Additions Pomme & Raisin,France,2 biscuits,1439,0,1.6,0.4,0,0,0,0,66,15,13,9.5,0.2,0.078740157,0,0,0,0.012,0,0
Biscuit chocolat céréales,France,2 BISCUITS,1824,0,16,7.5,0,0,0,0,46,15,8,23,0.98,0.385826772,0,0,0,0,0,0
karéléa speculoos,France,2 biscuits,1855,0,20,9.3,0,0,0,0,62,0,8.1,7.6,0.18,0.070866142,0,0,0,0,0,0
Sablé Nature Graines de Chia,France,2 biscuits,1925,0,19,1.8,0,0,0,0,59,15,9.7,8.4,0.53,0.208661417,0,0,0,0,0,0
Paquita,France,2 biscuits,2130,0,24,13,0,0,0,0,65,28,3.5,6.4,0.51,0.200787402,0,0,0,0,0,0
Cookies Choco Noisettes (x 12),France,"2 biscuits ≈ 33,3 g (Ce produit contient 6 portions de ≈ 33,3 g)",2154,0,28,12,0,0,0,0,57,27,3.5,7.1,0.3,0.118110236,0,0,0,0,0,0
Sablés pur beurre Cœur pomme façon tatin,France,2 biscuits (≈  25 g) Ce produit contient 4 portions de ≈ 25 g.,2083,0,23,15,0,0,0,0,66,32,2,5.5,0.73,0.287401575,0,0,0,0,0,0
Sablés pur beurre Cœur noix de coco,France,2 biscuits (≈ 25 g) Ce produit contient 4 portions de ≈ 25 g.,2211,0,32,23,0,0,0,0,54,26,3,5,0.75,0.295275591,0,0,0,0,0,0
Biscuits Chocolat au lait (x 12),France,2 biscuits (≈ 25 g) Ce produit contient 6 portions de ≈ 25 g.,2171,0,27,17,0,0,0,0,61,35,2.3,6.8,0.77,0.303149606,0,0,0,0,0,0
Cookies Choco Nougatine,France,2 biscuits (± 33 g),2054,0,24,13.5,11,2.5,0,0.3,62,33,3.3,5.5,1.3,0.511811024,0,0,0,0,0,0
Biscuits tablette chocolat noir ,France,2 biscuits (25 g environ),2049,0,23.2,13.5,8.3,1.1,0,0,62,35.3,3.9,6.2,0.51,0.200787402,0,0,0,0,0,0
Mention Bien chocolat noir,France,2 biscuits (25 g),2124,0,23.3,0,0,0,0,0,67.6,0,0,6.6,0,0,0,0,0,0,0,0
Cookies Noix de Coco pépites de chocolat (12 biscuits),France,2 biscuits (33 g),2118,0,28,15,0,0,0,0,56,31,4.5,5.5,0.38,0.149606299,0,0,0,0,0,0
Cookies chocolat,France,2 biscuits (33 g) Cet étui contient 12 biscuits.,2076,0,24.4,13,0,0,0,0,60,32.2,4.5,6.9,0.41,0.161417323,0,0,0.137,0,0.078,0
Déli Matin les fourrés au yaourt ,France,"2 biscuits (50,5 g)",1994,0,19.8,10,0,0,0,0,68.7,28.4,4.5,7.4,0.853,0.335826772,0,0,0,0,0,0
Cuillers Pâtissiers,France,2 biscuits (environ 17 g) Ce produit contient 18 portions.,1498,0,3.3,0.9,0,0,0,0,73.3,45.4,2.1,7.9,0.48,0.188976378,0,0,0,0,0,0
Biscuits chocolat sans gluten,France,2 biscuits (soit 18.7 g),2150,0,28.3,16,0,0,0,0,56.7,17.1,4.81,4.81,0.679,0.267,0,0,0,0,0,0
Biscuits Pépites de Chocolat & Quinoa,France,"2 biscuits (soit environ 16,9 g) Ce paquet contient 8 portions.",1978,0,17,7,0,0,0,0,70,25,3.1,7.9,0.54,0.212598425,0,0,0,0,0,0
Cuillers pâtissiers,France,"2 biscuits = 16,7 g environ",1491,0,3.3,0.8,0,0,0,0,73,46.9,1.3,6.9,0.4064,0.16,0,0,0,0,0,0
Boudoirs bio,France,2 biscuits 10g,1670,0,4.3,0,0,0,0,0,79,0,0,9.9,0.14478,0.057,0,0,0,0,0,0
Cuillers aux œufs frais,France,"2 biscuits 12,5 g",1500,0,3.1,0.9,1,0.5,0,0,74,50,1.3,6.9,0.41,0.161417323,0,0,0,0,0,0
Galettes fines,France,"2 biscuits 12,5 g",1895,0,15,9.8,0,0,0,0,72,27,0,7.5,1.4,0.551181102,0,0,0,0,0,0
Beurrés Bretons Pur Beurre,France,2 biscuits 13 g,1957,0,16.1,11.1,0,0,0,0,72.4,25.1,2.7,6.4,1.7018,0.67,0,0,0,0,0,0
Assortiment glacier,France,"2 biscuits 13,5 g",1817,0,9,6.4,0,0,0,0,80.3,34.1,0,6.2,0.47,0.18503937,0,0,0,0,0,0
Tout Petits Biscuits,France,2 biscuits 15g,1887,0,12.7,6.6,0,0,0,0,75,26.5,1.8,7.5,0.5588,0.22,0,0.16,0,0.0048,0,0
Galettes bretonnes pur beurre,France,2 biscuits 15g,2100,0,23,15,0,0,0,0,66,26,2.1,6.8,0.75,0.295275591,0,0,0,0,0,0
Biscuits Nappés Chocolat Noir,France,2 Biscuits 16 g,2150,0,26,12,0,0,0,0,61,20,2.5,7.5,0.42672,0.168,0,0,0,0,0,0
Petit Beurre,France,"2 biscuits 16,25 g",2059,0,22,13,0,0,0,0,66,24,2.6,6.1,1.63,0.641732283,0,0,0,0,0,0
Coeurs caramel,France,"2 biscuits 16,7 g",2123,0,26,17,0,0,0,0,62,40,1.7,5.5,0.35,0.137795276,0,0,0,0,0,0
Cuillers Pâtissiers,France,"2 biscuits 16,7 g (Cette boîte contient 18 portions environ)",1511,0,3.9,1.1,0,0,0,0,72,44,0,8.4,0.45,0.177165354,0,0,0,0,0,0
Palmiers feuilletés et dorés,France,"2 biscuits 16,7g",2212,0,28,16,0,0,0,0,62,20,2.1,6.2,1.016,0.4,0,0,0,0,0,0
Les Galettes de Pont-Aven,France,2 biscuits 16.5g,2174,0,25.7,15.5,0,0,0,0,64.4,29.6,1.7,6,0.9144,0.36,0,0,0,0,0,0
"Biscuits Blé, Épeautre & Sésame ",France,2 biscuits 20 g,2046,0,23,2.5,0,0,0,0,59,19,5.1,9,0.5,0.196850394,0,0,0,0,0,0
Biscuits épeautre-sésame Bio,France,2 biscuits 20g,2065,0,23,8.3,0,0,0,0,60,22,4.5,9.3,0.54,0.212598425,0,0,0,0,0,0
Crousti'Tab,France,"2 biscuits 21,9 g",2347,0,36.1,21.8,0,0,0,0,50.5,34.4,0,7.2,0.24,0.094488189,0,0,0,0,0,0
Sablé à la figue,France,2 biscuits 22 g,1587,0,7,3,0,0,0,0,71,40,4.5,5,0.38,0.149606299,0,0,0,0,0,0
Sablés sésame & pavot,France,2 biscuits 22 g,2054,0,23,2.3,0,0,0,0,65,17,6.3,8.7,0.23,0.090551181,0,0,0,0,0,0
Sablé coco cacao au sirop d'agave,France,2 biscuits 22g,1966,0,20,5.9,0,0,0,0,60,13.6,7.6,8.8,0.78,0.307086614,0,0,0,0,0,0
Sablés Bio au Beurre Muesli & Épices,France,2 biscuits 22g,2007,0,21,12,0,0,0,0,61.6,20.8,5.6,8.1,0.6604,0.26,0,0,0,0,0,0
